"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"1","434.91250","432.91250","0","Slot2","Arlanda"
"2","145.62500","145.02500","0","Slot2","Botkyrka 1"
"3","434.87500","432.87500","0","Slot2","Botkyrka 2"
"4","434.83750","432.83750","0","Slot2","Dalaro"
"5","434.58750","432.58750","0","Slot2","Djuro"
"6","145.57500","144.97500","0","Slot2","Kista 1"
"7","434.95000","432.95000","0","Slot2","Kista 5"
"8","434.98750","432.98750","0","Slot2","Kista 6"
"9","434.61250","432.61250","0","Slot2","Nynashamn 2"
"10","434.78750","432.78750","0","Slot2","Rimbo"
"11","434.88750","432.88750","0","Slot2","Sigtuna"
"12","434.68750","432.68750","1","Slot2","Soderort"
"13","145.70000","145.10000","1","Slot2","Sodertalje 1"
"14","434.53750","432.53750","1","Slot2","Sodertorn"
"15","434.96250","432.96250","0","Slot2","Stockholm 2"
"16","434.76250","432.76250","0","Slot2","Upplands Vasby 2"
"17","434.97500","432.97500","1","Slot2","Varmdo"
"18","145.72500","145.12500","2","Slot2","Kalix 1"
"19","434.75000","432.75000","2","Slot2","Kalix 2"
"20","434.72500","432.72500","2","Slot2","Kalix 3"
"21","434.51250","432.51250","2","Slot2","Kiruna 2"
"22","434.90000","432.90000","2","Slot2","Lulea 2"
"23","145.67500","145.07500","2","Slot2","Seskaro"
"24","434.97500","432.97500","2","Slot2","Umea 1"
"25","434.55000","432.55000","3","Slot2","Bollnas 1"
"26","145.58750","144.98750","3","Slot2","Bollnas 2"
"27","434.52500","432.52500","3","Slot2","Follinge"
"28","434.57500","432.57500","3","Slot2","Gavle 2"
"29","434.73750","432.73750","3","Slot2","Gavle 3"
"30","145.71250","145.11250","3","Slot2","Hudiksvall 2"
"31","434.57500","432.57500","3","Slot2","Hudiksvall 3"
"32","434.53750","432.53750","3","Slot2","Sundsvall 2"
"33","434.80000","432.80000","1","Slot2","Sundsvall 3"
"34","434.52500","432.52500","3","Slot2","Soderhamn 3"
"35","145.57500","144.97500","3","Slot2","Soderhamn 4"
"36","434.80000","432.80000","12","Slot2","Borlange"
"37","434.85000","432.85000","1","Slot2","Karlstad"
"38","145.62500","145.02500","4","Slot2","Sunne 1"
"39","434.66250","432.66250","4","Slot2","Vansbro 3"
"40","434.52500","432.52500","5","Slot2","Knivsta"
"41","434.51250","432.51250","5","Slot2","Linkoping 4"
"42","145.66250","145.06250","5","Slot2","Linkoping 5"
"43","434.87500","432.87500","5","Slot2","Linkoping 6"
"44","434.95000","432.95000","1","Slot2","Norrkoping 1"
"45","434.51250","432.51250","1","Slot2","Uppsala 3"
"46","434.53750","432.53750","6","Slot2","Alingsas 2"
"47","434.81250","432.81250","6","Slot2","Angered 1"
"48","434.55000","432.55000","6","Slot2","Boras 1"
"49","434.82500","432.82500","6","Slot2","Floda"
"50","434.78750","432.78750","6","Slot2","Goteborg 1"
"51","145.58750","144.98750","6","Slot2","Kortedala"
"52","434.72500","432.72500","6","Slot2","Kungsbacka 1"
"53","145.57500","144.97500","6","Slot2","Kungshamn"
"54","434.98750","432.98750","6","Slot2","Skara"
"55","145.71250","145.11250","6","Slot2","Stenungsund 1"
"56","145.67500","145.07500","6","Slot2","Tanumshede"
"57","145.63750","145.03750","6","Slot2","Uddevalla"
"58","434.57500","432.57500","6","Slot2","Vargarda"
"59","434.95000","432.95000","7","Slot2","Bjarnum"
"60","434.61250","432.61250","7","Slot2","Blentarp"
"61","434.60000","432.60000","7","Slot2","Bruzaholm"
"62","434.56250","432.56250","7","Slot2","Eksjo"
"63","434.60000","432.60000","7","Slot2","Helsingborg 1"
"64","434.65000","432.65000","7","Slot2","Helsingborg 3"
"65","434.91250","432.91250","7","Slot2","Hassleholm 1"
"66","434.97500","432.97500","7","Slot2","Jonkoping 1"
"67","434.52500","432.52500","7","Slot2","Kristianstad"
"68","434.58750","432.58750","7","Slot2","Lund 2"
"69","434.95000","432.95000","7","Slot2","Malmo 1"
"70","434.77500","432.77500","7","Slot2","Malmo 2"
"71","434.90000","432.90000","7","Slot2","Nassjo 3"
"72","145.58750","144.98750","7","Slot2","Nassjo 4"
"73","434.97500","432.97500","7","Slot2","Orkelljunga"
